lambda,transition
1.0422216686045545,2021–2022
1.0511611393106866,2021–2022
1.050846651233351,2021–2022
1.0557452980177837,2021–2022
1.0514763796253677,2021–2022
1.043329442106361,2021–2022
1.0515389388365657,2021–2022
1.0520349191457181,2021–2022
1.0445774639713163,2021–2022
1.0559473044570324,2021–2022
1.0425559486441187,2021–2022
1.050294368245759,2021–2022
1.05843289932597,2021–2022
1.0539668595844913,2021–2022
1.0496447522026362,2021–2022
1.0530671045731235,2021–2022
1.062832182645544,2021–2022
1.053023325880082,2021–2022
1.0590800333366706,2021–2022
1.0515080281742009,2021–2022
1.041895807410032,2021–2022
1.0499887694448153,2021–2022
1.0557026746562101,2021–2022
1.055496437611972,2021–2022
1.0539327308450679,2021–2022
1.0539820295184774,2021–2022
1.0541569816264849,2021–2022
1.0517438852024108,2021–2022
1.0634868596053426,2021–2022
1.0482226061224396,2021–2022
1.0467004491445573,2021–2022
1.056366333250268,2021–2022
1.0587956552554896,2021–2022
1.0636024344715032,2021–2022
1.0480264542425797,2021–2022
1.0483825383739722,2021–2022
1.0538423082608273,2021–2022
1.0526348437663804,2021–2022
1.0575343812450555,2021–2022
1.046505980940167,2021–2022
1.0474331840710265,2021–2022
1.0451537771944046,2021–2022
1.0509809432093518,2021–2022
1.0505932772309174,2021–2022
1.0569914810689767,2021–2022
1.0568865984682658,2021–2022
1.0549558910689598,2021–2022
1.046439926637886,2021–2022
1.0582025114307423,2021–2022
1.0563180573408355,2021–2022
1.0479028160105168,2021–2022
1.0567646212239379,2021–2022
1.0496967391904901,2021–2022
1.0471784977420504,2021–2022
1.0607440713407945,2021–2022
1.0520983442601903,2021–2022
1.0526442786385373,2021–2022
1.0532736424460811,2021–2022
1.0640484707361442,2021–2022
1.0532963444465209,2021–2022
1.0481954426442064,2021–2022
1.0608507848544595,2021–2022
1.065895300663824,2021–2022
1.052048039045026,2021–2022
1.0579300152540851,2021–2022
1.0581193526297779,2021–2022
1.0553827242157954,2021–2022
1.0435967312466696,2021–2022
1.055279793973426,2021–2022
1.0554696663991656,2021–2022
1.0516394735383414,2021–2022
1.0478490429480807,2021–2022
1.054121846765089,2021–2022
1.0564171083650227,2021–2022
1.0602997526530564,2021–2022
1.0514259462427784,2021–2022
1.0655713545786907,2021–2022
1.0507895014258943,2021–2022
1.045659397256169,2021–2022
1.0524299115088218,2021–2022
1.067830817401988,2021–2022
1.053643438648326,2021–2022
1.0578873824578723,2021–2022
1.0477342258211753,2021–2022
1.0582711306852737,2021–2022
1.053176082834966,2021–2022
1.0558181042500863,2021–2022
1.0628515786243904,2021–2022
1.0570313255641153,2021–2022
1.0590917886283084,2021–2022
1.0533587305422314,2021–2022
1.0579187527234202,2021–2022
1.0547120328514177,2021–2022
1.0476098020856326,2021–2022
1.055126855282944,2021–2022
1.0610776226627976,2021–2022
1.0450811651893384,2021–2022
1.0528342668058008,2021–2022
1.0463208173086576,2021–2022
1.055265078859237,2021–2022
1.0453515746031938,2021–2022
1.0530842678975036,2021–2022
1.063498976778804,2021–2022
1.053241391582012,2021–2022
1.0473845512935638,2021–2022
1.0585068112702525,2021–2022
1.0609627017488206,2021–2022
1.0542124142171323,2021–2022
1.0596414077834155,2021–2022
1.0586686356004273,2021–2022
1.0561686016934566,2021–2022
1.0515422252334978,2021–2022
1.0510494162142292,2021–2022
1.055108756557007,2021–2022
1.0533211282247048,2021–2022
1.0444112963871388,2021–2022
1.056489005138995,2021–2022
1.0596357040747253,2021–2022
1.0509137233411288,2021–2022
1.0562275976009112,2021–2022
1.0466673821052284,2021–2022
1.0604557038863447,2021–2022
1.0499532445032713,2021–2022
1.0529326149102067,2021–2022
1.0495510862478947,2021–2022
1.0550248963196867,2021–2022
1.0528275953146808,2021–2022
1.0536841908865309,2021–2022
1.0533634473237785,2021–2022
1.0503380551639852,2021–2022
1.0595994673925264,2021–2022
1.0606490942188183,2021–2022
1.0562307421867947,2021–2022
1.043126920603891,2021–2022
1.0592516771376403,2021–2022
1.0580260176236547,2021–2022
1.050411726197375,2021–2022
1.0468618560621052,2021–2022
1.058911691299168,2021–2022
1.0484559932268276,2021–2022
1.0619130013026106,2021–2022
1.0625999732709108,2021–2022
1.049485744404691,2021–2022
1.0618864619591089,2021–2022
1.0517634668144704,2021–2022
1.0463680863164406,2021–2022
1.0535227657302797,2021–2022
1.0566673301868317,2021–2022
1.0433834889922382,2021–2022
1.0595904108089054,2021–2022
1.0513221603056093,2021–2022
1.0617518861473065,2021–2022
1.0526267049161178,2021–2022
1.0456701417936407,2021–2022
1.0474769862658733,2021–2022
1.050028662987829,2021–2022
1.0554943903827494,2021–2022
1.0523240936153588,2021–2022
1.0465721167844448,2021–2022
1.0515073701914504,2021–2022
1.0559222978164364,2021–2022
1.0606999771394459,2021–2022
1.0543554207876136,2021–2022
1.0486635306889607,2021–2022
1.056061752378984,2021–2022
1.0557157200107188,2021–2022
1.0474699764251147,2021–2022
1.0602549409574384,2021–2022
1.0596494638918796,2021–2022
1.0484710974862088,2021–2022
1.0567294171572819,2021–2022
1.0562018082079843,2021–2022
1.0603042240318516,2021–2022
1.05349572525293,2021–2022
1.049607465531158,2021–2022
1.0562914085784612,2021–2022
1.0518985180254221,2021–2022
1.0516083730482373,2021–2022
1.0483264788017799,2021–2022
1.0481599250060942,2021–2022
1.0526805898462346,2021–2022
1.0541110015980346,2021–2022
1.0544386489010846,2021–2022
1.052584332118406,2021–2022
1.047981381306855,2021–2022
1.052502359814558,2021–2022
1.0506335661958635,2021–2022
1.048287646041275,2021–2022
1.0480148132375806,2021–2022
1.058586120325695,2021–2022
1.0505589301893534,2021–2022
1.0552917914852733,2021–2022
1.0517079721229605,2021–2022
1.0630983520652464,2021–2022
1.0522879477158311,2021–2022
1.05125393711633,2021–2022
1.0534807882753403,2021–2022
1.0448407581913968,2021–2022
1.0585110187613984,2021–2022
1.060262755533053,2021–2022
1.050389422088069,2021–2022
1.0684986520721191,2021–2022
1.0527278843433325,2021–2022
1.0574989125686398,2021–2022
1.047948081723417,2021–2022
1.055799592566749,2021–2022
1.0461031452540104,2021–2022
1.0535560334864846,2021–2022
1.0458323263946394,2021–2022
1.0572943877987504,2021–2022
1.04556985317728,2021–2022
1.0551671008602603,2021–2022
1.0519867071097502,2021–2022
1.0513776225444968,2021–2022
1.0569806554362278,2021–2022
1.055461326518019,2021–2022
1.0447332992795457,2021–2022
1.056957557877039,2021–2022
1.0520932036494586,2021–2022
1.0559979506967294,2021–2022
1.0488445297537625,2021–2022
1.0419106254583834,2021–2022
1.0514794991376786,2021–2022
1.052144077049647,2021–2022
1.0558131517639842,2021–2022
1.058899122816296,2021–2022
1.0493318095972635,2021–2022
1.0467251777190774,2021–2022
1.0554819771153707,2021–2022
1.060632556216279,2021–2022
1.0433720957770165,2021–2022
1.0579569105590816,2021–2022
1.0547754427092153,2021–2022
1.0568504928150642,2021–2022
1.0538113963993412,2021–2022
1.0575206565572741,2021–2022
1.0562563599897934,2021–2022
1.0504925924556328,2021–2022
1.0520023668086593,2021–2022
1.046873341114836,2021–2022
1.0455157185674653,2021–2022
1.0495253480076137,2021–2022
1.0533854719693792,2021–2022
1.0527704607165518,2021–2022
1.055349613265999,2021–2022
1.0533708024426423,2021–2022
1.0590909564010396,2021–2022
1.053540434149106,2021–2022
1.048951779113236,2021–2022
1.0518963022800336,2021–2022
1.0471091783663804,2021–2022
1.0589940200531356,2021–2022
1.0436894989526544,2021–2022
1.0463174728877829,2021–2022
1.0488316801564577,2021–2022
1.054063311543893,2021–2022
1.0532940005554217,2021–2022
1.0527408501894637,2021–2022
1.0426939775394792,2021–2022
1.0495484909662645,2021–2022
1.0546392026874185,2021–2022
1.056008468020258,2021–2022
1.0522359442662004,2021–2022
1.0450441203606762,2021–2022
1.058502892467831,2021–2022
1.0643878655017651,2021–2022
1.056992808993095,2021–2022
1.0460371091703284,2021–2022
1.055300531017583,2021–2022
1.0420836794621506,2021–2022
1.0531615986134175,2021–2022
1.0472016929497212,2021–2022
1.064245921794802,2021–2022
1.0488036219219419,2021–2022
1.0503596953779655,2021–2022
1.0414808312259058,2021–2022
1.0507025302214423,2021–2022
1.0519093683204974,2021–2022
1.047087707819869,2021–2022
1.0545954363436698,2021–2022
1.0513537820035865,2021–2022
1.0537364127727538,2021–2022
1.0590351100010107,2021–2022
1.0489906123760375,2021–2022
1.057968889623429,2021–2022
1.048487498569167,2021–2022
1.0506495324506406,2021–2022
1.0565133067969745,2021–2022
1.0589791277512406,2021–2022
1.0630368261542438,2021–2022
1.0523802725512794,2021–2022
1.0611829238356791,2021–2022
1.0606082567170765,2021–2022
1.0586002205496812,2021–2022
1.0571721843539748,2021–2022
1.0529624099565371,2021–2022
1.0510929768426802,2021–2022
1.0441195938207388,2021–2022
1.0429927450919099,2021–2022
1.048314928208795,2021–2022
1.0486992346818378,2021–2022
1.0474034022604077,2021–2022
1.0567358593694836,2021–2022
1.0522320250112573,2021–2022
1.0533991946371608,2021–2022
1.0474951866159812,2021–2022
1.0478879168531239,2021–2022
1.0567529414266696,2021–2022
1.048964207219168,2021–2022
1.0476264203776595,2021–2022
1.0518883664662488,2021–2022
1.059207622933463,2021–2022
1.046632179973624,2021–2022
1.0473149649287825,2021–2022
1.0549612671834279,2021–2022
1.0500443293545771,2021–2022
1.0495919193331604,2021–2022
1.0594447689966355,2021–2022
1.058027393955298,2021–2022
1.0551347576874386,2021–2022
1.0510217893934624,2021–2022
1.051362583257664,2021–2022
1.0522754475448313,2021–2022
1.0504576127843372,2021–2022
1.0547273633730347,2021–2022
1.0599026850526638,2021–2022
1.052029942515099,2021–2022
1.0534623267569976,2021–2022
1.0562532650735958,2021–2022
1.0510552793005081,2021–2022
1.0554309314679913,2021–2022
1.054109545166448,2021–2022
1.0591865576173223,2021–2022
1.0495624401048609,2021–2022
1.0473691859198606,2021–2022
1.0446139142570599,2021–2022
1.0551234681174833,2021–2022
1.0514182247926562,2021–2022
1.0519364743248574,2021–2022
1.0593467995973664,2021–2022
1.0509147342081588,2021–2022
1.0548695063158142,2021–2022
1.0586632720333065,2021–2022
1.0438895414442997,2021–2022
1.0520250067422015,2021–2022
1.0480843764432246,2021–2022
1.04724922521895,2021–2022
1.0639143500330508,2021–2022
1.055014792964634,2021–2022
1.0452573625316015,2021–2022
1.0541996435066043,2021–2022
1.064263693501356,2021–2022
1.0564414230981278,2021–2022
1.0546407517389764,2021–2022
1.044171142468821,2021–2022
1.0502365668060467,2021–2022
1.0584006052531736,2021–2022
1.0558396566971715,2021–2022
1.048665208329062,2021–2022
1.0516347481970694,2021–2022
1.0518404119919218,2021–2022
1.052708402456199,2021–2022
1.0522653652687244,2021–2022
1.0525740055756478,2021–2022
1.063573156882298,2021–2022
1.0532765780741133,2021–2022
1.048688870110208,2021–2022
1.0502949964817918,2021–2022
1.0540481992595583,2021–2022
1.0572642001671382,2021–2022
1.0480074583521772,2021–2022
1.0607013870394093,2021–2022
1.0540920531752647,2021–2022
1.0615994069436325,2021–2022
1.0614390323698089,2021–2022
1.0561725975494598,2021–2022
1.061235519754604,2021–2022
1.053600783776321,2021–2022
1.0578949728948468,2021–2022
1.04725073100045,2021–2022
1.053633848682032,2021–2022
1.0567550091777376,2021–2022
1.0580122464484731,2021–2022
1.0440572900255654,2021–2022
1.0601327796731224,2021–2022
1.0455101925339214,2021–2022
1.0407952966485494,2021–2022
1.0464414546424141,2021–2022
1.041507666833066,2021–2022
1.0540511001089894,2021–2022
1.0499452249174817,2021–2022
1.0497603151285915,2021–2022
1.0630543423715815,2021–2022
1.0596191093815595,2021–2022
1.0521125773921198,2021–2022
1.0503575741778228,2021–2022
1.0560156592238732,2021–2022
1.0572239031188717,2021–2022
1.0528318894319475,2021–2022
1.046116730296962,2021–2022
1.0553437944108073,2021–2022
1.0571584652692032,2021–2022
1.0559448764033097,2021–2022
1.0470408073896702,2021–2022
1.0518198059340786,2021–2022
1.054707123577567,2021–2022
1.050291717177421,2021–2022
1.054387500255834,2021–2022
1.0576285073278469,2021–2022
1.0535624914107025,2021–2022
1.058869040175028,2021–2022
1.0563584102972199,2021–2022
1.0489596810755761,2021–2022
1.0640173961695414,2021–2022
1.0538636508199632,2021–2022
1.057686111016365,2021–2022
1.0692732115012118,2021–2022
1.050783116097615,2021–2022
1.056105557933424,2021–2022
1.0528067960733793,2021–2022
1.0540407533191518,2021–2022
1.054559282326479,2021–2022
1.0479660932977133,2021–2022
1.0623063655894645,2021–2022
1.0570213700065723,2021–2022
1.0501614451148311,2021–2022
1.0631903004583345,2021–2022
1.0530023668276023,2021–2022
1.0572669423022223,2021–2022
1.0441114475868445,2021–2022
1.0496358190900732,2021–2022
1.0528478732438187,2021–2022
1.0570458929680622,2021–2022
1.0576221561459638,2021–2022
1.0695114192445907,2021–2022
1.0419527592795876,2021–2022
1.074419122972585,2021–2022
1.050053726629561,2021–2022
1.0525183303197139,2021–2022
1.0568448308542735,2021–2022
1.0474658565960733,2021–2022
1.0567704974731291,2021–2022
1.0595898198388554,2021–2022
1.0512633739776978,2021–2022
1.0585180601679929,2021–2022
1.047305669072391,2021–2022
1.0484129480993665,2021–2022
1.0476076495442492,2021–2022
1.0500869094276362,2021–2022
1.0604418636634434,2021–2022
1.0488431069096658,2021–2022
1.0523654721829345,2021–2022
1.0520726001254745,2021–2022
1.0524464820716966,2021–2022
1.0570632364448682,2021–2022
1.0651500170333075,2021–2022
1.053567399901307,2021–2022
1.0495535104101772,2021–2022
1.0477070753723192,2021–2022
1.0525665196802327,2021–2022
1.0432766409991578,2021–2022
1.0545423803241956,2021–2022
1.0495148754745545,2021–2022
1.047383519556272,2021–2022
1.0550941388224486,2021–2022
1.0470843382901969,2021–2022
1.0493866781181973,2021–2022
1.054068274875115,2021–2022
1.051285061314733,2021–2022
1.05126446494068,2021–2022
1.0570668580570977,2021–2022
1.0534203150841568,2021–2022
1.0461052910287674,2021–2022
1.0558054588908456,2021–2022
1.0605291417965486,2021–2022
1.047785177019662,2021–2022
1.0526734935325501,2021–2022
1.0629055292777747,2021–2022
1.0519820079218472,2021–2022
1.050891457868762,2021–2022
1.0575870574106094,2021–2022
1.0629764175696028,2021–2022
1.0567156456760138,2021–2022
1.0539090329687637,2021–2022
1.0531171676581688,2021–2022
1.0506901382383966,2021–2022
1.060173329478341,2021–2022
1.0551109568798025,2021–2022
1.054009712327617,2021–2022
1.052224663857144,2021–2022
1.0603263788489214,2021–2022
1.0447423011203616,2021–2022
1.055683787895894,2021–2022
1.0596669702135475,2021–2022
1.0501030561796443,2021–2022
1.055089325201006,2021–2022
1.049413242591709,2021–2022
1.0546154281665479,2021–2022
1.0535619354781172,2021–2022
1.0433730245498383,2021–2022
1.0612091439742704,2021–2022
1.0503542531648853,2021–2022
1.05211755496451,2021–2022
1.050580448854152,2021–2022
1.0528356623980293,2021–2022
1.0508314600433655,2021–2022
1.0443359276460706,2021–2022
1.0544357692561745,2021–2022
1.0478133997456085,2021–2022
1.047880891095061,2021–2022
1.054592160471428,2021–2022
1.0445801682601816,2021–2022
1.0544895587760683,2021–2022
1.0595861715541912,2021–2022
1.0517748061572805,2021–2022
1.0547504508760448,2021–2022
1.0569612439151284,2021–2022
1.0450007591738633,2021–2022
1.0579571744205176,2021–2022
1.0497822344000125,2021–2022
1.051277773356098,2021–2022
1.056125422028534,2021–2022
1.0476972688815414,2021–2022
1.052480567539727,2021–2022
1.0557418286942124,2021–2022
1.0505163077890878,2021–2022
1.0550803174500676,2021–2022
1.0556249253043093,2021–2022
1.0536194802442946,2021–2022
1.055575803309542,2021–2022
1.0504716649080919,2021–2022
1.053477470775626,2021–2022
1.0460869349975035,2021–2022
1.0481038587116471,2021–2022
1.0514816143001664,2021–2022
1.05592427607492,2021–2022
1.0563202239193525,2021–2022
1.0550577326229964,2021–2022
1.0593153291716282,2021–2022
1.0588067413099418,2021–2022
1.0506145770076478,2021–2022
1.050663828486083,2021–2022
1.0566041371987525,2021–2022
1.0534504095174826,2021–2022
1.0473563911027077,2021–2022
1.0595802293244811,2021–2022
1.055271159758254,2021–2022
1.0592647755612694,2021–2022
1.0525237346227443,2021–2022
1.0638296118618085,2021–2022
1.052421810926207,2021–2022
1.0461400266453922,2021–2022
1.0535955387949736,2021–2022
1.0553371191601426,2021–2022
1.0416679223617997,2021–2022
1.0457636164673592,2021–2022
1.0534008182100443,2021–2022
1.0536988872147859,2021–2022
1.0451538790541097,2021–2022
1.0530692426993904,2021–2022
1.0494863116249906,2021–2022
1.0498774588445003,2021–2022
1.0553665343598917,2021–2022
1.062404754803856,2021–2022
1.0516479757364934,2021–2022
1.0531770806954948,2021–2022
1.047346431403384,2021–2022
1.059552139354484,2021–2022
1.044056428471713,2021–2022
1.0519329294939606,2021–2022
1.0493060392181464,2021–2022
1.0519250069713435,2021–2022
1.0664749213053246,2021–2022
1.0581673193255994,2021–2022
1.0516442704196183,2021–2022
1.0524318466503972,2021–2022
1.0585991551186158,2021–2022
1.0546452476424433,2021–2022
1.0602090401192499,2021–2022
1.0482197205253554,2021–2022
1.0597893635508364,2021–2022
1.0563826420824107,2021–2022
1.0563007532893212,2021–2022
1.053908203740567,2021–2022
1.058441348577769,2021–2022
1.0532096980855892,2021–2022
1.0457876739589742,2021–2022
1.0622980266440945,2021–2022
1.0618529613787975,2021–2022
1.0427311550752645,2021–2022
1.051498335027444,2021–2022
1.0543904680589908,2021–2022
1.0354581134961778,2021–2022
1.047397945173331,2021–2022
1.0493760496999665,2021–2022
1.0576702457189466,2021–2022
1.0594914619238045,2021–2022
1.0593111185692345,2021–2022
1.0510483561686008,2021–2022
1.0639826646658264,2021–2022
1.057210551689562,2021–2022
1.0467109831241894,2021–2022
1.0492410365586067,2021–2022
1.0519704342956238,2021–2022
1.052791643570306,2021–2022
1.0624644805754195,2021–2022
1.050187703956689,2021–2022
1.0426887477986697,2021–2022
1.0556323669850955,2021–2022
1.060056605944243,2021–2022
1.0562859001197351,2021–2022
1.0558946923180619,2021–2022
1.0544906947658812,2021–2022
1.0572234283977804,2021–2022
1.0554712828539148,2021–2022
1.0496195728560294,2021–2022
1.055722230452493,2021–2022
1.0538440871362407,2021–2022
1.0518699985670534,2021–2022
1.049501078798056,2021–2022
1.0470789845584736,2021–2022
1.0504804643235715,2021–2022
1.066038929620161,2021–2022
1.0584284827222852,2021–2022
1.0666312522890917,2021–2022
1.052552404197237,2021–2022
1.056995491549127,2021–2022
1.052624470574241,2021–2022
1.049661030008137,2021–2022
1.0588082820083877,2021–2022
1.0549523233211822,2021–2022
1.0492083050602152,2021–2022
1.0559798982350423,2021–2022
1.0536621704594806,2021–2022
1.055119999527021,2021–2022
1.05887548407223,2021–2022
1.0555125533055263,2021–2022
1.0458499858341415,2021–2022
1.0479345740352646,2021–2022
1.052932395494367,2021–2022
1.0444621157627094,2021–2022
1.0543483588444091,2021–2022
1.0531735428297206,2021–2022
1.0572524791283417,2021–2022
1.0647970414662624,2021–2022
1.0511188599245456,2021–2022
1.0474935440511564,2021–2022
1.053881338991634,2021–2022
1.0496177925252153,2021–2022
1.0653887819449368,2021–2022
1.0496428326461538,2021–2022
1.0516140947059376,2021–2022
1.0430737207219347,2021–2022
1.0569895320036484,2021–2022
1.0463204087818354,2021–2022
1.0599005779204274,2021–2022
1.0531615122193478,2021–2022
1.0566430868872672,2021–2022
1.0533473465637209,2021–2022
1.0701482826925426,2021–2022
1.0455094643245084,2021–2022
1.0589232390094525,2021–2022
1.0478766414432237,2021–2022
1.0542646141009528,2021–2022
1.055744799639553,2021–2022
1.0534965240167244,2021–2022
1.0543870369347168,2021–2022
1.0600838889088209,2021–2022
1.0452790857640935,2021–2022
1.0585160447432593,2021–2022
1.046907291161457,2021–2022
1.0593553847761943,2021–2022
1.0437968985651083,2021–2022
1.0527349006278974,2021–2022
1.0545025137193074,2021–2022
1.04917558108253,2021–2022
1.0543579009509778,2021–2022
1.046910420690404,2021–2022
1.05861377715187,2021–2022
1.0564866158781947,2021–2022
1.052665559513882,2021–2022
1.0472616179234235,2021–2022
1.0575624610880165,2021–2022
1.051780848747729,2021–2022
1.0572767402307028,2021–2022
1.053712100783402,2021–2022
1.050746484900476,2021–2022
1.0512597456461954,2021–2022
1.0472771582912108,2021–2022
1.0620648305319742,2021–2022
1.055585228163719,2021–2022
1.0526193958663865,2021–2022
1.0521745473409192,2021–2022
1.0507619637412462,2021–2022
1.0499033459799156,2021–2022
1.0474566787219663,2021–2022
1.0512372591319845,2021–2022
1.0537184527285546,2021–2022
1.0569842527635858,2021–2022
1.056113707690561,2021–2022
1.0553998731307335,2021–2022
1.0585217875861603,2021–2022
1.0558701774322015,2021–2022
1.0450265553899791,2021–2022
1.0569515278219055,2021–2022
1.0565146362985618,2021–2022
1.0483725898375964,2021–2022
1.0543723150017819,2021–2022
1.0409470307077557,2021–2022
1.0429156575352316,2021–2022
1.051290968889358,2021–2022
1.0544506825133246,2021–2022
1.0558627375686338,2021–2022
1.0493241766671193,2021–2022
1.063547790838948,2021–2022
1.0536462778653282,2021–2022
1.0549443223663766,2021–2022
1.0532906170044212,2021–2022
1.0416536353248813,2021–2022
1.0611606491074181,2021–2022
1.0578816237676292,2021–2022
1.051245057840745,2021–2022
1.052711319698497,2021–2022
1.057603811491287,2021–2022
1.0541249337508958,2021–2022
1.0575579934449442,2021–2022
1.05126665963226,2021–2022
1.0551759750158811,2021–2022
1.0429658457720061,2021–2022
1.0571336037345849,2021–2022
1.0578548218969124,2021–2022
1.0514164320373145,2021–2022
1.055683254616122,2021–2022
1.0590002064708162,2021–2022
1.0530877855014886,2021–2022
1.0467196825420337,2021–2022
1.042854524246331,2021–2022
1.054398649748504,2021–2022
1.0587655898755741,2021–2022
1.0542996771620206,2021–2022
1.0491219568704648,2021–2022
1.0502867744922162,2021–2022
1.0429683556289135,2021–2022
1.038216387891583,2021–2022
1.0602345889250873,2021–2022
1.052766592277789,2021–2022
1.0508013226856432,2021–2022
1.0595937778116507,2021–2022
1.0622040873435559,2021–2022
1.0514197318851848,2021–2022
1.0489120513629744,2021–2022
1.04615740906801,2021–2022
1.051760284632734,2021–2022
